Model,Missed Entity
DeepSeek V3 0324,dynamical selection vector mechanism
DeepSeek V3 0324,suppression mechanism
DeepSeek V3 0324,monkeys
DeepSeek V3 0324,softplus
DeepSeek V3 0324,higher cortical areas
DeepSeek V3 0324,s41593-025-01869-7
DeepSeek V3 0324,neurons
DeepSeek V3 0324,psychometric function
DeepSeek V3 0324,orthonormal embedding matrix
DeepSeek V3 0324,dimensionality reduction methods
DeepSeek V3 0324,selection vector mechanism
DeepSeek V3 0324,cognitive functions
DeepSeek V3 0324,nature neuroscience
DeepSeek V3 0324,rectified linear
DeepSeek V3 0324,monkey a
DeepSeek V3 0324,dale's law
DeepSeek V3 0324,recurrent neural network
DeepSeek V3 0324,christopher langdon
DeepSeek V3 0324,dimensionality reduction
DeepSeek V3 0324,color context
DeepSeek V3 0324,motion context
DeepSeek V3 0324,monkey f
DeepSeek V3 0324,inhibition of irrelevant sensory representations
DeepSeek V3 0324,pfc
DeepSeek V3 0324,cortical circuits
DeepSeek V3 0324,tatiana a. engel
DeepSeek V3 0324,incongruent trials
DeepSeek V3 0324,context-dependent selection mechanism
Claude 3.7 Sonnet,christopher langdon
Claude 3.7 Sonnet,nature neuroscience
Claude 3.7 Sonnet,pytorch
Claude 3.7 Sonnet,tatiana a. engel
Claude 3.7 Sonnet,adam optimizer
Claude 3.7 Sonnet,dimensionality reduction methods
Claude 3.7 Sonnet,cognitive functions
Claude 3.7 Sonnet,s41593-025-01869-7
GPT-4o-mini,dynamical selection vector mechanism
GPT-4o-mini,context-dependent decision-making task
GPT-4o-mini,suppression mechanism
GPT-4o-mini,softplus
GPT-4o-mini,inhibitory neurons
GPT-4o-mini,psychometric function
GPT-4o-mini,orthonormal embedding matrix
GPT-4o-mini,adam optimizer
GPT-4o-mini,selection vector mechanism
GPT-4o-mini,rectified linear
GPT-4o-mini,rnn
GPT-4o-mini,monkey a
GPT-4o-mini,dale's law
GPT-4o-mini,recurrent neural network
GPT-4o-mini,excitatory neurons
GPT-4o-mini,rhesus monkeys
GPT-4o-mini,dimensionality reduction
GPT-4o-mini,color context
GPT-4o-mini,motion context
GPT-4o-mini,monkey f
GPT-4o-mini,inhibition of irrelevant sensory representations
GPT-4o-mini,pfc
GPT-4o-mini,cortical circuits
GPT-4o-mini,pytorch
GPT-4o-mini,incongruent trials
GPT-4o-mini,context-dependent selection mechanism
GPT-4o-mini,relu
