Model,Missed Entity
GPT-4o-mini,rnn
GPT-4o-mini,choice axis
GPT-4o-mini,context-dependent decision-making
GPT-4o-mini,context axis
GPT-4o-mini,sensory color nodes
GPT-4o-mini,motion axis
GPT-4o-mini,correct trials
GPT-4o-mini,choice nodes
GPT-4o-mini,monkey a
GPT-4o-mini,linear decoder
GPT-4o-mini,color context
GPT-4o-mini,recurrent neural network
GPT-4o-mini,motion coherence
GPT-4o-mini,context cue
GPT-4o-mini,rectified linear (relu) activation function
GPT-4o-mini,input connectivity win
GPT-4o-mini,monkey f
GPT-4o-mini,single neurons
GPT-4o-mini,incongruent trials
GPT-4o-mini,cold spring harbor laboratory
GPT-4o-mini,inhibitory neurons
GPT-4o-mini,dale's law
GPT-4o-mini,cortical circuits
GPT-4o-mini,monkeys
GPT-4o-mini,rhesus monkeys
GPT-4o-mini,suppression mechanism
GPT-4o-mini,recurrent connectivity wrec
GPT-4o-mini,principal component analysis
GPT-4o-mini,motion context
GPT-4o-mini,embedding matrix q
GPT-4o-mini,color axis
GPT-4o-mini,neural population activity
GPT-4o-mini,context-dependent decision-making task
GPT-4o-mini,relu
GPT-4o-mini,softplus activation function
GPT-4o-mini,context nodes
GPT-4o-mini,color coherence
GPT-4o-mini,pfc
GPT-4o-mini,sensory motion nodes
GPT-4o-mini,latent circuit model
GPT-4o-mini,inhibitory mechanism
GPT-4o-mini,excitatory neurons
GPT-4o-mini,decision-making
GPT-4o-mini,sensory stimulus
GPT-4o-mini,higher cortical areas
GPT-4o-mini,psychometric functions
GPT-4o-mini,princeton neuroscience institute
GPT-4o-mini,mann–whitney u-test
GPT-4o-mini,error trials
GPT-4o-mini,low-dimensional circuit mechanism
DeepSeek V3 0324,choice axis
DeepSeek V3 0324,task variables
DeepSeek V3 0324,context axis
DeepSeek V3 0324,sensory color nodes
DeepSeek V3 0324,motion axis
DeepSeek V3 0324,correct trials
DeepSeek V3 0324,macaque monkeys
DeepSeek V3 0324,choice nodes
DeepSeek V3 0324,monkey a
DeepSeek V3 0324,linear decoder
DeepSeek V3 0324,color context
DeepSeek V3 0324,recurrent neural network
DeepSeek V3 0324,motion coherence
DeepSeek V3 0324,context cue
DeepSeek V3 0324,rectified linear (relu) activation function
DeepSeek V3 0324,input connectivity win
DeepSeek V3 0324,monkey f
DeepSeek V3 0324,single neurons
DeepSeek V3 0324,incongruent trials
DeepSeek V3 0324,recurrent neural networks
DeepSeek V3 0324,dale's law
DeepSeek V3 0324,cortical circuits
DeepSeek V3 0324,monkeys
DeepSeek V3 0324,suppression mechanism
DeepSeek V3 0324,premotor cortex
DeepSeek V3 0324,recurrent connectivity wrec
DeepSeek V3 0324,principal component analysis
DeepSeek V3 0324,motion context
DeepSeek V3 0324,embedding matrix q
DeepSeek V3 0324,color axis
DeepSeek V3 0324,neural population activity
DeepSeek V3 0324,context-dependent decision-making task
DeepSeek V3 0324,softplus activation function
DeepSeek V3 0324,context nodes
DeepSeek V3 0324,dimensionality reduction
DeepSeek V3 0324,color coherence
DeepSeek V3 0324,sensory motion nodes
DeepSeek V3 0324,inhibitory mechanism
DeepSeek V3 0324,sensory stimulus
DeepSeek V3 0324,higher cortical areas
DeepSeek V3 0324,psychometric functions
DeepSeek V3 0324,mann–whitney u-test
DeepSeek V3 0324,error trials
DeepSeek V3 0324,low-dimensional circuit mechanism
Claude 3.7 Sonnet,christopher langdon
Claude 3.7 Sonnet,task variables
Claude 3.7 Sonnet,decision-making
Claude 3.7 Sonnet,recurrent neural networks
Claude 3.7 Sonnet,tatiana a. engel
Claude 3.7 Sonnet,relu
Claude 3.7 Sonnet,nature neuroscience
Claude 3.7 Sonnet,macaque monkeys
Claude 3.7 Sonnet,premotor cortex
